Name,MFLOPS_observed,MFLOPS_tuned,Time,Row,Col,BlockRow,BlockCol
oscil_dcop_56.rb,1656.0,1308.84,0.0666701,430,430,0,0
Erdos972.rb,1088.88,2020.91,0.00228995,5488,5488,0,0
ncvxqp1.rb,3338.0,2966.84,0.00396658,12111,12111,1,1
delf_A_05.rb,1963.21,1618.71,0.0021934,3142,6614,1,1
adder_dcop_59.rb,1454.89,1327.59,0.00185947,1813,1813,1,1
n3c4-b3.rb,423.326,234.686,0.0203402,15,20,0,0
nsic.rb,1837.08,1448.4,0.00139265,465,897,1,1
t2d_q9_A_39.rb,2352.23,2561.53,0.00526033,9801,9801,3,1
adder_dcop_19.rb,1464.58,1343.07,0.00204828,1813,1813,1,1
extr1b_A_03.rb,1934.69,1638.46,0.00221147,2836,2836,0,0
bloweybq.rb,3515.89,3672.52,0.00363096,10001,10001,2,2
Reuters911_Day_54.rb,392.241,499.325,0.00309384,13332,13332,0,0
plbuckle_G.rb,3796.66,3469.32,0.00174955,1282,1282,0,0
TSOPF_RS_b678_c1.rb,1418.02,2977.79,0.254836,18696,18696,8,6
ccc_G_02.rb,1027.46,641.506,0.00119324,64,64,0,0
bayer04.rb,1981.1,1763.24,0.0101456,20545,20545,3,1
west0167.rb,1349.31,970.8,0.018718,167,167,0,0
dwt_162.rb,2746.38,2003.68,0.00161097,162,162,0,0
bp_1000.rb,1766.04,1482.92,0.00159204,822,822,0,0
scfxm1-2r_A_8.rb,2061.8,1796.64,0.00825981,19036,33047,1,1
a2nnsnsl.rb,2465.5,2247.28,0.0162925,80016,80016,1,1
lpl2.rb,1980.88,1825.92,0.00309055,3294,10881,1,1
t2d_q4_A_15.rb,2341.79,2576.92,0.00530893,9801,9801,3,1
L.rb,2562.26,2218.92,0.00149413,956,956,0,0
reorientation_4.rb,3764.72,3496.93,0.00224081,2717,2717,1,1
ch7-8-b2.rb,1825.97,2132.32,0.0352779,11760,1176,0,0
ch5-5-b4.rb,1572.01,748.732,0.00123388,120,600,0,0
Serena.rb,3052.27,4302.86,1.67551,1391349,1391349,3,3
ch5-5-b1.rb,1094.67,984.681,0.00144217,200,25,0,0
TSOPF_RS_b678_c2_b.rb,540.823,1475.79,0.00454153,35696,339,0,0
can_715.rb,3423.33,2915.14,0.00139912,715,715,2,1
mc2depi.rb,1248.25,1179.88,0.150745,525825,525825,1,1
jgl011.rb,516.266,300.423,0.0152268,11,11,0,0
hydr1c_A_68.rb,1900.72,1717.75,0.00322747,5308,5308,0,0
pgp2.rb,2126.31,2079.55,0.00324327,4034,13254,1,1
TS.rb,2179.2,3202.72,0.00308171,2142,2142,3,3
nmos3.rb,1918.08,1977.03,0.0217272,18588,18588,1,1
Trec8.rb,1526.19,1140.39,0.00163518,23,84,0,0
rosen7.rb,1818.88,1741.5,0.0213334,264,776,0,0
spaceStation_2.rb,3792.89,3342.7,0.00188125,329,329,0,0
c-27.rb,2757.15,2790.77,0.00224246,4563,4563,1,1
ch.rb,1923.86,1490.09,0.00311449,3700,8291,0,0
can_144.rb,3005.97,2185.7,0.0156395,144,144,0,0
ramage02.rb,2943.0,3484.68,0.0674846,16830,16830,3,1
cavity20.rb,2123.69,3137.6,0.00731583,4562,4562,3,1
extr1b_A_24.rb,1965.74,1668.32,0.00224574,2836,2836,0,0
G17.rb,3831.35,3111.33,0.00141408,800,800,1,1
trans4.rb,1471.72,1470.21,0.043824,116835,116835,1,1
TSOPF_FS_b39_c7.rb,4019.03,5455.39,0.0183539,28216,28216,2,2
jagmesh6.rb,3362.31,2716.05,0.00156349,1377,1377,0,0
Reuters911_Day_01.rb,744.795,815.879,0.00330501,13332,13332,0,0
large_A_20.rb,1936.2,1615.29,0.00244567,4300,8624,1,1
scrs8-2b_A_2.rb,1746.32,1194.22,0.00132951,476,907,0,0
cage3.rb,154.35,80.6416,0.012049,5,5,0,0
adder_dcop_48.rb,1450.56,1350.73,0.00193326,1813,1813,1,1
extr1b_Zeros_03.rb,167.529,201.094,0.00209859,2836,2836,0,0
delf_A_01.rb,1983.24,1620.14,0.00224626,3128,6599,1,1
SiO2.rb,2856.04,3278.2,0.317789,155331,155331,2,1
rajat08.rb,2756.02,2488.11,0.00479911,19362,19362,1,1
amazon-2008.rb,690.207,641.499,0.445993,735323,735323,1,1
CurlCurl_3.rb,2492.26,2433.14,0.563981,1219574,1219574,1,1
dwt_361.rb,3331.44,2570.6,0.00186235,361,361,0,0
c8_mat11.rb,1356.98,1648.14,0.29803,4562,5761,0,0
Erdos981.rb,2837.93,2557.69,0.00136044,485,485,0,0
bcsstk01.rb,1852.58,1195.07,0.00158751,48,48,0,0
can_229.rb,2947.48,2244.01,0.00133588,229,229,0,0
brack2.rb,2106.5,1902.06,0.0334793,62631,62631,0,0
cavity03.rb,2011.28,2528.11,0.00222686,317,317,3,1
reorientation_2.rb,3671.69,3303.06,0.00200211,1544,1544,0,0
hydr1c_A_12.rb,1868.25,1618.69,0.00285457,5308,5308,0,0
G60.rb,1220.37,1170.06,0.00333882,7000,7000,0,0
GD06_Java.rb,1463.43,1632.44,0.00197889,1538,1538,0,0
spaceShuttleEntry_2.rb,4100.49,3633.25,0.0143695,1428,1428,0,0
delf_A_36.rb,1982.98,1464.08,0.00259768,3170,6654,0,0
GD96_b.rb,801.617,544.685,0.00226894,111,111,0,0
will57.rb,1203.01,777.454,0.00129359,57,57,0,0
bodyy5.rb,3129.21,3228.26,0.00557611,18589,18589,2,1
mark3jac100.rb,1977.39,1734.01,0.0230804,45769,45769,0,0
ccc_G_10.rb,2416.68,2201.41,0.0113499,49152,49152,0,0
pds-60.rb,1014.08,1098.71,0.0715618,99431,336421,0,0
extr1b_Zeros_14.rb,67.7458,85.1269,0.0015267,2836,2836,0,0
kineticBatchReactor_5.rb,3662.01,3406.77,0.00354048,7641,7641,1,1
F2.rb,2890.57,4692.02,0.167016,71505,71505,3,3
kineticBatchReactor_2.rb,3608.03,3357.0,0.00269969,4361,4361,1,1
circuit204.rb,1998.35,1779.09,0.00151035,1020,1020,1,1
Erdos971.rb,2792.82,2487.2,0.00126694,472,472,0,0
windtunnel_evap3d.rb,1471.19,1591.31,0.179442,40816,40816,0,0
wathen100.rb,4133.8,4438.17,0.0256672,30401,30401,3,1
can_1072.rb,3378.55,2900.2,0.00165566,1072,1072,3,1
n4c6-b6.rb,1639.16,1544.43,0.0442647,104115,51813,1,1
fv2.rb,3803.54,3617.49,0.00367194,9801,9801,3,1
fpga_dcop_06.rb,1892.85,1560.67,0.00166224,1220,1220,0,0
cage_G_36.rb,1192.54,727.039,0.00128716,42,42,0,0
can_634.rb,3601.1,3182.03,0.00135976,634,634,1,1
c-72.rb,2695.56,2744.5,0.0253863,84064,84064,1,1
large_A_07.rb,1947.37,1596.54,0.00254638,4249,8587,1,1
TF15.rb,1634.96,1570.2,0.00591362,6334,7742,1,1
,0.0,0.0,0.0,41291594,41291594,0,0
adder_dcop_02.rb,1417.86,1341.08,0.36421,1813,1813,1,1
viscoplastic2_C_4.rb,1916.56,1868.26,0.0216546,32769,32769,1,1
blckhole.rb,3245.36,3235.63,0.00174961,2132,2132,2,1
gsm_106857.rb,1911.99,1915.09,0.773737,589446,589446,1,1
delf_A_03.rb,1956.84,1611.88,0.00222526,3135,6605,1,1
nsct_A_1.rb,1458.73,1455.75,0.0896905,22901,37461,3,1
debr_G_07.rb,2604.27,2032.49,0.00169437,512,512,0,0
raefsky3.rb,1513.81,3195.98,0.0743635,21200,21200,8,8
sc205-2r_A_01.rb,1241.08,748.253,0.0012778,101,179,0,0
hydr1c_Zeros_15.rb,80.4102,104.622,0.0019159,5308,5308,0,0
ecology2.rb,1829.91,1668.24,0.241308,999999,999999,1,1
c-22.rb,3088.05,2859.43,0.00343237,3792,3792,3,1
hydr1c_Zeros_02.rb,218.511,299.362,0.00249376,5308,5308,0,0
hydr1c_Zeros_29.rb,82.9447,106.875,0.00181485,5308,5308,0,0
ncvxqp5.rb,3235.04,2803.72,0.0232732,62500,62500,0,0
bcsstm10.rb,4332.82,4323.16,0.00155078,1086,1086,3,1
small_A_07.rb,1870.82,1411.96,0.00135435,710,1433,1,1
adder_dcop_15.rb,1449.61,1253.44,0.00219755,1813,1813,0,0
GD96_a.rb,1136.06,1012.25,0.00137783,1096,1096,0,0
t2d_q4_A_04.rb,2295.28,2516.51,0.00532811,9801,9801,3,1
extr1b_Zeros_09.rb,67.4822,85.1589,0.00192885,2836,2836,0,0
hydr1c_A_03.rb,1918.27,1729.27,0.00299785,5308,5308,0,0
QRpivot_b.rb,600.994,934.993,0.0304796,660,1,0,0
mk12-b3.rb,1736.2,2069.72,0.0175215,51975,13860,0,0
n4c6-b9.rb,1390.22,1294.17,0.116547,186558,198895,1,1
cavity09.rb,2089.17,3051.82,0.00250175,1182,1182,3,1
jan99jac060.rb,1930.64,1849.41,0.00859033,20614,20614,1,1
n2c6-b5.rb,2175.8,1900.55,0.00300835,4945,3003,1,1
scsd8-2r_A_04.rb,2158.81,2480.05,0.00153879,330,2310,2,2
small_A_09.rb,1888.16,1408.25,0.0013657,712,1434,1,1
fpga_dcop_42.rb,1927.01,1620.22,0.00156259,1220,1220,1,1
dwt_419.rb,3347.21,2196.58,0.00142305,419,419,2,1
will199.rb,1507.06,1111.11,0.00124661,199,199,0,0
n3c6-b11.rb,1730.65,1010.78,0.00124096,60,675,1,1
dwt_512.rb,3049.7,2447.95,0.00140389,512,512,0,0
raefsky2.rb,1841.61,3714.41,0.0136656,3242,3242,3,2
G2.rb,3865.43,3652.42,0.087408,800,800,1,1
wheel_7_1.rb,1178.37,804.564,0.0356719,114,113,0,0
jagmesh7.rb,3238.24,2713.78,0.00138147,1138,1138,1,1
extr1b_A_17.rb,1932.92,1637.65,0.00223921,2836,2836,0,0
ex33.rb,3666.45,3467.12,0.00183307,1733,1733,1,1
fxm2-16.rb,2054.25,1808.16,0.00310963,3900,7335,1,1
EAT_SR.rb,1474.33,1417.35,0.0215572,23219,23219,1,1
adder_dcop_50.rb,1446.24,1336.68,0.00193004,1813,1813,1,1
hydr1c_Zeros_46.rb,80.5317,102.946,0.00186179,5308,5308,0,0
n4c6-b12.rb,2051.95,1853.4,0.0216438,25605,69235,1,1
viscoplastic1_C_1.rb,2122.06,2237.99,0.0231082,4326,4326,3,1
c-53.rb,3604.06,4429.97,0.025237,30235,30235,2,1
plddb_A_11.rb,1862.46,1453.48,0.00186809,3069,5049,1,1
b1_ss.rb,120.661,37.6713,0.00116027,7,7,1,1
bfly_G_03.rb,2036.06,1439.03,0.00115784,160,160,0,0
fpga_dcop_47.rb,1862.56,1635.83,0.00149617,1220,1220,1,1
hydr1c_A_69.rb,1862.07,1641.24,0.00294511,5308,5308,0,0
jagmesh9.rb,3211.51,2741.63,0.00147953,1349,1349,2,1
dwt_59.rb,1313.74,832.985,0.0135016,59,59,0,0
dwt_72.rb,1057.48,678.485,0.00150351,72,72,0,0
Reuters911_Day_32.rb,384.409,463.849,0.0031627,13332,13332,0,0
oscil_dcop_52.rb,1640.52,1327.17,0.00135529,430,430,0,0
t2d_q4_A_39.rb,2321.63,2496.13,0.00537694,9801,9801,3,1
mk11-b2.rb,1835.24,2098.92,0.00317714,6930,990,0,0
ss1.rb,1152.28,1245.09,0.0610431,205282,205282,1,1
delf_A_09.rb,1957.95,1617.72,0.00215759,3148,6622,1,1
lpl3.rb,1926.41,1782.35,0.00741965,10828,33686,1,1
plddb_A_10.rb,1897.06,1469.19,0.00191227,3069,5049,1,1
rajat03.rb,1986.08,1863.7,0.00305382,7602,7602,1,1
adder_dcop_14.rb,1434.14,1253.47,0.00214314,1813,1813,0,0
lp_nug07.rb,2203.66,1700.61,0.00143768,602,931,0,0
c-60.rb,2922.47,2881.37,0.0124714,43640,43640,1,1
fpga_dcop_28.rb,1847.92,1594.66,0.0014315,1220,1220,1,1
delf_A_27.rb,1971.77,1592.77,0.00229503,3187,6657,1,1
turon_m.rb,2498.82,2383.0,0.0611663,189924,189924,1,1
para-5.rb,1309.85,1411.38,0.307283,155924,155924,1,1
sctap1-2b_A_1.rb,1869.94,1287.41,0.00134818,270,594,0,0
struct3.rb,3254.54,2699.77,0.0485741,53570,53570,5,5
ldoor.rb,2725.95,4197.5,1.13775,952203,952203,7,7
