Name,N,NNZ,Nonzeros(nnz/N),Density,Diags,Num_diag_elem,Num_diag_elem_per_NNZ,Small_rows_percentage,Small_rows_elem_percentage,NNZ_min,NNZ_max,NNZ_mean,NNZ_sd,DiffNNZ_min,DiffNNZ_max,DiffNNZ_mean,DiffNNZ_sd,BW_min,BW_max,BW_mean,BW_sd,Scatter_min,Scatter_max,Scatter_mean,Scatter_geom,Scatter_sd,Misses,FLOPS_byte
dictionary28.mtx,52652,178076,3.38213,6.42356e-05,28016,1244555248,6988.899391,80.369217,37.211079,0,38,3.382132,4.475033,0,32,2.660317,3.410302,0.0,0.805212,0.126184,8781.599609,2e-06,1.0,0.230984,0.00076,0.416745,0.031741,0.173189
av41092.mtx,41092,1683902,40.9788,0.000997246,53538,1464655788,869.79871,70.758301,8.499901,2,2135,40.978828,167.022232,0,2130,30.100214,152.547119,4.9e-05,0.888981,0.510573,6188.901855,9.7e-05,1.0,0.001832,0.000458,0.013274,0.45843,0.241172
lowThrust_3.mtx,7064,80645,11.4163,0.00161613,5563,31412346,389.513869,16.789354,5.875132,2,2746,11.416336,46.185551,0,2743,1.565544,46.12682,0.000425,0.889298,0.538175,1196.459229,0.000637,0.999272,0.003355,0.002765,0.017642,0.683854,0.220967
plskz362.mtx,362,880,2.43094,0.0067153,37,7027,7.985227,77.348068,44.090908,0,6,2.430939,2.359169,0,2,0.162983,0.456336,0.0,0.383978,0.12189,62.559689,0.000276,1.0,0.331182,0.018793,0.456686,0.03063,0.154603
IG5-18.mtx,47894,1790490,37.3844,0.000780566,45846,1396663682,780.045508,2.578611,0.306173,1,120,37.384434,32.870693,0,116,25.068192,28.551424,2.1e-05,0.605232,0.17152,4553.878418,0.000184,1.0,0.008557,0.003874,0.035757,0.675965,0.240356
mark3jac040sc.mtx,18289,106803,5.83974,0.000319303,666,11823641,110.705139,56.886654,33.205059,2,44,5.83974,3.843749,0,41,3.317295,3.473464,0.000109,0.225436,0.022762,585.817322,0.001319,1.0,0.156086,0.037843,0.277224,0.551719,0.198908
lowThrust_11.mtx,18368,223801,12.1843,0.000663343,14363,211834862,946.532241,16.702961,5.479868,2,7142,12.184288,74.527267,0,7139,1.62206,74.475128,0.000163,0.889046,0.53843,3107.244385,0.000245,0.99972,0.001371,0.001128,0.010959,0.645211,0.222596
fpga_dcop_19.mtx,1220,5892,4.82951,0.00395861,1601,1216210,206.417176,95.409836,82.892059,1,36,4.829508,4.012748,0,35,1.1,2.948159,0.00082,0.891803,0.668056,332.860474,0.003484,1.0,0.076095,0.008262,0.251447,0.721692,0.190754
mycielskian18.mtx,196607,300933832,1530.64,0.00778526,392670,38603978992,128.280621,0.1297,0.0,0,140678943,1530.636353,448679.96875,0,140678929,2884.198975,634516.875,0.0,0.999959,0.005123,10509.548828,1e-06,258121.09375,1.430326,0.088228,582.13678,0.297152,-0.31927
n4c5-b4.mtx,2852,14260,5.0,0.00175316,4141,6924192,485.567461,100.0,100.0,5,5,5.0,0.0,0,0,0.0,0.0,0.004558,0.350982,0.168714,247.005264,0.004995,0.384615,0.016817,0.012398,0.022386,0.675094,0.192308
lpi_itest2.mtx,13,26,2.0,0.153846,9,68,2.615385,100.0,100.0,0,4,2.0,1.414214,0,3,0.692308,0.821314,0.0,0.846154,0.426036,4.143863,0.007692,0.8,0.287265,0.112599,0.251437,0.108823,0.142857
tols340.mtx,340,2196,6.45882,0.0189965,177,42874,19.523679,94.705879,26.229507,1,90,6.458824,19.755877,0,89,0.520588,6.767782,0.002941,0.852941,0.317353,81.371323,0.009756,1.0,0.231361,0.046784,0.389775,0.890187,0.202882
ex22.mtx,839,22460,26.77,0.031907,169,133301,5.93504,0.0,0.0,7,62,26.769964,13.803246,0,29,6.332539,8.683436,0.015495,0.203814,0.0711,24.666065,0.128,0.810811,0.452527,0.429701,0.147563,0.144536,0.236735
