Name,Baseline ms,Baseline BW, Baseline GFlops,SPADE ms, SPADE BW, SPADE GFLOPs,MKL ms, MKL BW, MKL GFLOPs
pdb1HYS.mtx,7.18657,12.1522,1.20913,5.05578,17.2738,1.71873,4.87808,17.903,1.78134,
jnlbrng1.mtx,0.193708,23.045,2.0567,0.30573,14.6011,1.30311,0.107962,41.348,3.6902,
obstclae.mtx,0.200728,22.0804,1.96891,0.303805,14.5889,1.30089,0.109471,40.4871,3.61023,
rma10.mtx,3.40863,14.0942,1.39294,2.66283,18.0417,1.78307,1.91644,25.0683,2.47751,
dixmaanl.mtx,0.302616,22.2062,1.98269,0.458928,14.6428,1.30739,0.171474,39.1894,3.49905,
cant.mtx,6.12416,13.2095,1.30871,4.25189,19.0261,1.88499,4.17507,19.3762,1.91967,
consph.mtx,9.42238,12.864,1.27579,7.76042,15.6189,1.54901,7.31047,16.5803,1.64435,
denormal.mtx,1.12963,21.4205,2.04708,1.33311,18.1509,1.73462,0.684208,35.3654,3.37974,
Baumann.mtx,0.788117,21.011,1.93025,1.00296,16.5103,1.51677,0.430253,38.4871,3.53574,
cop20k_A.mtx,6.84259,7.88311,0.767058,5.35053,10.0814,0.980962,7.53551,7.15823,0.696524,
shipsec1.mtx,12.2158,12.9307,1.27923,9.39319,16.8163,1.66363,10.9012,14.49,1.4335,
pwtk.mtx,17.5628,13.3979,1.3249,13.2089,17.8141,1.76161,13.857,16.9808,1.67921,
Lin.mtx,1.80295,21.2984,1.95945,2.3453,16.3732,1.50633,0.920401,41.721,3.83833,
ecology1.mtx,7.17636,15.5957,1.39235,8.51387,13.1456,1.17361,6.4692,17.3004,1.54455,
webbase-1M.mtx,7.93717,9.33718,0.78253,8.29111,8.93858,0.749124,6.47357,11.4482,0.959451,
atmosmodd.mtx,12.7022,15.0795,1.38793,13.3809,14.3146,1.31753,10.2717,18.6476,1.71634,
