Phase	Benchmark	Mode	Feature	Value
Sparse	Baumann.mtx	csr	Outer	3
Sparse	Baumann.mtx	csr	Inner	500
Sparse	Baumann.mtx	csr	N	112211
Sparse	Baumann.mtx	csr	NNZ	748331
Sparse	Baumann.mtx	csr	SD	10.013519
Sparse	Baumann.mtx	csr	MFLOPS_s	2928.88
Sparse	Baumann.mtx	csr	MFLOPS_median	2921.86
Sparse	Baumann.mtx	csr	Time	0.766503
Sparse	Baumann.mtx	csr	Fletcher_sum	63537

Sparse	Baumann.mtx	coo	Outer	3
Sparse	Baumann.mtx	coo	Inner	500
Sparse	Baumann.mtx	coo	N	112211
Sparse	Baumann.mtx	coo	NNZ	748331
Sparse	Baumann.mtx	coo	SD	2.40126
Sparse	Baumann.mtx	coo	MFLOPS_s	1590.01
Sparse	Baumann.mtx	coo	MFLOPS_median	1590.24
Sparse	Baumann.mtx	coo	Time	1.41193
Sparse	Baumann.mtx	coo	Fletcher_sum	63537

Sparse	Baumann.mtx	dia	Outer	3
Sparse	Baumann.mtx	dia	Inner	500
Sparse	Baumann.mtx	dia	N	112211
Sparse	Baumann.mtx	dia	NNZ	748331
Sparse	Baumann.mtx	dia	SD	249.214600
Sparse	Baumann.mtx	dia	MFLOPS_s	5958.97
Sparse	Baumann.mtx	dia	MFLOPS_median	5814.75
Sparse	Baumann.mtx	dia	Time	0.376742
Sparse	Baumann.mtx	dia	Fletcher_sum	63537

Sparse	Baumann.mtx	ell	Outer	3
Sparse	Baumann.mtx	ell	Inner	500
Sparse	Baumann.mtx	ell	N	112211
Sparse	Baumann.mtx	ell	NNZ	748331
Sparse	Baumann.mtx	ell	SD	1.588210
Sparse	Baumann.mtx	ell	MFLOPS_s	2397.15
Sparse	Baumann.mtx	ell	MFLOPS_median	2396.64
Sparse	Baumann.mtx	ell	Time	0.936524
Sparse	Baumann.mtx	ell	Fletcher_sum	63537

Dense	Baumann.mtx	csr	Outer	3
Dense	Baumann.mtx	csr	Inner	500
Dense	Baumann.mtx	csr	N	1000
Dense	Baumann.mtx	csr	NNZ	1000000
Dense	Baumann.mtx	csr	SD	8.844036
Dense	Baumann.mtx	csr	MFLOPS_s	1968.35
Dense	Baumann.mtx	csr	MFLOPS_median	1963.15
Dense	Baumann.mtx	csr	Time	1.52412
Dense	Baumann.mtx	csr	Fletcher_sum	0

Dense	Baumann.mtx	dia	Outer	3
