Phase	Benchmark	Mode	Feature	Value
Sparse	Baumann.mtx	csr	Outer	20
Sparse	Baumann.mtx	csr	Inner	500
Sparse	Baumann.mtx	csr	N	112211
Sparse	Baumann.mtx	csr	NNZ	748331
Sparse	Baumann.mtx	csr	SD	33.416952
Sparse	Baumann.mtx	csr	MFLOPS_s	2923.17
Sparse	Baumann.mtx	csr	MFLOPS_median	2928.44
Sparse	Baumann.mtx	csr	Time	5.12
Sparse	Baumann.mtx	csr	Fletcher_sum	63537

Sparse	Baumann.mtx	dia	Outer	20
Sparse	Baumann.mtx	dia	Inner	500
Sparse	Baumann.mtx	dia	N	112211
Sparse	Baumann.mtx	dia	NNZ	748331
Sparse	Baumann.mtx	dia	SD	10.454802
Sparse	Baumann.mtx	dia	MFLOPS_s	5831.43
Sparse	Baumann.mtx	dia	MFLOPS_median	5829.82
Sparse	Baumann.mtx	dia	Time	2.56655
Sparse	Baumann.mtx	dia	Fletcher_sum	63537

Sparse	Baumann.mtx	ell	Outer	20
Sparse	Baumann.mtx	ell	Inner	500
Sparse	Baumann.mtx	ell	N	112211
Sparse	Baumann.mtx	ell	NNZ	748331
Sparse	Baumann.mtx	ell	SD	90.823255
Sparse	Baumann.mtx	ell	MFLOPS_s	2553.63
Sparse	Baumann.mtx	ell	MFLOPS_median	2597.78
Sparse	Baumann.mtx	ell	Time	5.86093
Sparse	Baumann.mtx	ell	Fletcher_sum	63537

Sparse	Baumann.mtx	coo	Outer	20
Sparse	Baumann.mtx	coo	Inner	500
Sparse	Baumann.mtx	coo	N	112211
Sparse	Baumann.mtx	coo	NNZ	748331
Sparse	Baumann.mtx	coo	SD	20.4032
Sparse	Baumann.mtx	coo	MFLOPS_s	1578.64
Sparse	Baumann.mtx	coo	MFLOPS_median	1528.64
Sparse	Baumann.mtx	coo	Time	9.4807
Sparse	Baumann.mtx	coo	Fletcher_sum	63537

Dense	Baumann.mtx	csr	Outer	20
Dense	Baumann.mtx	csr	Inner	500
Dense	Baumann.mtx	csr	N	1000
Dense	Baumann.mtx	csr	NNZ	1000000
Dense	Baumann.mtx	csr	SD	32.935006
Dense	Baumann.mtx	csr	MFLOPS_s	1948.22
Dense	Baumann.mtx	csr	MFLOPS_median	1963.95
Dense	Baumann.mtx	csr	Time	10.2658
Dense	Baumann.mtx	csr	Fletcher_sum	0

Dense	Baumann.mtx	dia	Outer	20
Dense	Baumann.mtx	dia	Inner	500
Dense	Baumann.mtx	dia	N	1000
Dense	Baumann.mtx	dia	NNZ	1000000
Dense	Baumann.mtx	dia	SD	115.950551
Dense	Baumann.mtx	dia	MFLOPS_s	4343.28
Dense	Baumann.mtx	dia	MFLOPS_median	4392.05
Dense	Baumann.mtx	dia	Time	4.60482
Dense	Baumann.mtx	dia	Fletcher_sum	0

Dense	Baumann.mtx	ell	Outer	20
Dense	Baumann.mtx	ell	Inner	500
Dense	Baumann.mtx	ell	N	1000
Dense	Baumann.mtx	ell	NNZ	1000000
Dense	Baumann.mtx	ell	SD	54.011419
Dense	Baumann.mtx	ell	MFLOPS_s	2576.11
Dense	Baumann.mtx	ell	MFLOPS_median	2522.6
Dense	Baumann.mtx	ell	Time	7.76363
Dense	Baumann.mtx	ell	Fletcher_sum	0

Dense	Baumann.mtx	coo	Outer	20
Dense	Baumann.mtx	coo	Inner	500
Dense	Baumann.mtx	coo	N	1000
Dense	Baumann.mtx	coo	NNZ	1000000
Dense	Baumann.mtx	coo	SD	1.75578
Dense	Baumann.mtx	coo	MFLOPS_s	913.896
Dense	Baumann.mtx	coo	MFLOPS_median	913.747
Dense	Baumann.mtx	coo	Time	21.8843
Dense	Baumann.mtx	coo	Fletcher_sum	0

Sparse	atmosmodd.mtx	csr	Outer	20
Sparse	atmosmodd.mtx	csr	Inner	1
Sparse	atmosmodd.mtx	csr	N	1270432
Sparse	atmosmodd.mtx	csr	NNZ	8814880
Sparse	atmosmodd.mtx	csr	SD	18.166754
Sparse	atmosmodd.mtx	csr	MFLOPS_s	2502.27
Sparse	atmosmodd.mtx	csr	MFLOPS_median	2508.42
Sparse	atmosmodd.mtx	csr	Time	0.14091
Sparse	atmosmodd.mtx	csr	Fletcher_sum	24131

Sparse	atmosmodd.mtx	dia	Outer	20
Sparse	atmosmodd.mtx	dia	Inner	1
Sparse	atmosmodd.mtx	dia	N	1270432
Sparse	atmosmodd.mtx	dia	NNZ	8814880
Sparse	atmosmodd.mtx	dia	SD	43.869664
Sparse	atmosmodd.mtx	dia	MFLOPS_s	3372.44
Sparse	atmosmodd.mtx	dia	MFLOPS_median	3290.41
Sparse	atmosmodd.mtx	dia	Time	0.104552
Sparse	atmosmodd.mtx	dia	Fletcher_sum	24131

Sparse	atmosmodd.mtx	ell	Outer	20
Sparse	atmosmodd.mtx	ell	Inner	1
Sparse	atmosmodd.mtx	ell	N	1270432
Sparse	atmosmodd.mtx	ell	NNZ	8814880
Sparse	atmosmodd.mtx	ell	SD	29.236658
Sparse	atmosmodd.mtx	ell	MFLOPS_s	2170.9
Sparse	atmosmodd.mtx	ell	MFLOPS_median	2185.28
Sparse	atmosmodd.mtx	ell	Time	0.162419
Sparse	atmosmodd.mtx	ell	Fletcher_sum	24131

Sparse	atmosmodd.mtx	coo	Outer	20
Sparse	atmosmodd.mtx	coo	Inner	1
Sparse	atmosmodd.mtx	coo	N	1270432
Sparse	atmosmodd.mtx	coo	NNZ	8814880
Sparse	atmosmodd.mtx	coo	SD	9.5097
Sparse	atmosmodd.mtx	coo	MFLOPS_s	1496.74
Sparse	atmosmodd.mtx	coo	MFLOPS_median	1502.52
Sparse	atmosmodd.mtx	coo	Time	0.235576
Sparse	atmosmodd.mtx	coo	Fletcher_sum	24131

Dense	atmosmodd.mtx	csr	Outer	20
Dense	atmosmodd.mtx	csr	Inner	500
Dense	atmosmodd.mtx	csr	N	1000
Dense	atmosmodd.mtx	csr	NNZ	1000000
Dense	atmosmodd.mtx	csr	SD	11.661576
Dense	atmosmodd.mtx	csr	MFLOPS_s	1972.42
Dense	atmosmodd.mtx	csr	MFLOPS_median	1950.05
Dense	atmosmodd.mtx	csr	Time	10.1398
Dense	atmosmodd.mtx	csr	Fletcher_sum	0

Dense	atmosmodd.mtx	dia	Outer	20
Dense	atmosmodd.mtx	dia	Inner	500
Dense	atmosmodd.mtx	dia	N	1000
Dense	atmosmodd.mtx	dia	NNZ	1000000
Dense	atmosmodd.mtx	dia	SD	156.904213
Dense	atmosmodd.mtx	dia	MFLOPS_s	4710.37
Dense	atmosmodd.mtx	dia	MFLOPS_median	4541.53
Dense	atmosmodd.mtx	dia	Time	4.24595
Dense	atmosmodd.mtx	dia	Fletcher_sum	0

Dense	atmosmodd.mtx	ell	Outer	20
Dense	atmosmodd.mtx	ell	Inner	500
Dense	atmosmodd.mtx	ell	N	1000
